fever,headache,body_pain,fatigue,cough,cold,sore_throat,runny_nose,nausea,vomiting,diarrhea,stomach_pain,dizziness,loss_of_appetite,sensitivity_to_light,dehydration,stress,sleep_disturbance,disease
1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Viral Fever
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Viral Fever
1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Viral Fever
1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Viral Fever
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Viral Fever
1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Viral Fever
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Viral Fever
1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Viral Fever
0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,Common Cold
0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,Common Cold
0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Common Cold
0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,Common Cold
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,Common Cold
0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Common Cold
0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Common Cold
0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,Common Cold
1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,Flu
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Flu
1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,Flu
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Flu
1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,Flu
1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Flu
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Flu
1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,Flu
0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Allergy
1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Allergy
0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,Allergy
